t,dur,sbytes,dbytes,sttl,dttl,spkts,dpkts,sload,dload,rate,label,attack_cat,phase_id,is_drift_boundary
0.0,0.080978,3806,51808,31,29,64,66,370174.625,5040776.5,1593.025292,0,Normal,0,0
0.1,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
0.2,0.328367,424,8824,31,29,8,12,9038.666992,197072.1875,57.862088,0,Normal,0,0
0.3,0.110367,258,86,254,60,6,2,15584.36816,3116.873779,63.424756,0,Normal,0,0
0.4,0.00099,146,178,31,29,2,2,589899.0,719191.9375,3030.303118,0,Normal,0,0
0.5,0.59891,37938,3484,31,29,54,44,497383.5938,45482.62891,161.960903,0,Normal,0,0
0.6,0.001745,544,304,31,29,4,4,1870487.125,1045272.188,4011.461281,0,Normal,0,0
0.7,1.178033,498,354,254,252,10,8,3049.150635,2105.204102,14.430835,0,Normal,0,0
0.8,0.001032,146,178,31,29,2,2,565891.5,689922.5,2906.976908,0,Normal,0,0
0.9,0.004807,568,320,31,29,4,4,708966.0625,399417.5,1456.20968,0,Normal,0,0
1.0,1.425956,978,86,62,252,6,2,4572.371094,241.241669,4.908987,0,Normal,0,0
1.1,0.69136,796,1170,62,252,10,10,8296.69043,12184.67969,27.482064,0,Normal,0,0
1.2,0.005276,3936,2456,31,29,18,18,5637604.0,3517816.5,6633.813335,0,Normal,0,0
1.3,0.001657,536,304,31,29,4,4,1940856.875,1100784.5,4224.501999,0,Normal,0,0
1.4,0.006062,2054,2478,31,29,22,24,2587924.75,3134279.0,7423.292571,0,Normal,0,0
1.5,0.679809,822,1300,62,252,10,10,8708.329102,13768.57422,27.949028,0,Normal,0,0
1.6,1.09327,7814,14990,31,29,122,126,56710.60547,108825.8203,225.927733,0,Normal,0,0
1.7,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
1.8,1.508751,135649,870,254,252,112,20,712843.9375,4385.083984,86.826784,0,Normal,0,0
1.9,0.383174,670,268,254,252,10,6,12589.58106,4676.726562,39.146706,0,Normal,0,0
2.0,0.018024,1540,1644,31,29,16,18,640923.25,689303.1875,1830.892204,0,Normal,0,0
2.1,0.13467,258,86,254,60,6,2,12771.96094,2554.39209,51.97891,0,Normal,0,0
2.2,0.001055,146,178,31,29,2,2,553554.5,674881.5,2843.601894,0,Normal,0,0
2.3,0.001572,544,304,31,29,4,4,2076335.875,1160305.375,4452.926268,0,Normal,0,0
2.4,0.027948,3614,45696,31,29,60,62,1017317.875,12869329.0,4329.469086,0,Normal,0,0
2.5,1.034077,1580,10168,31,29,12,18,11209.99609,74300.07031,28.044332,0,Normal,0,0
2.6,0.020863,1540,1644,31,29,16,18,553707.5,595504.0,1581.747568,0,Normal,0,0
2.7,0.138944,3614,50036,31,29,60,62,204629.2031,2834465.75,870.854445,0,Normal,0,0
