step,t_sec,is_boundary,learn,anomaly,mwl,spike,growth_pct,mr,mp,airspeed,climb,altitude,throttle,heading,pitch,roll,yaw,thr,elev
0.0,0.0,0.0,1.0,1.0,1.0,0.0,nan,nan,nan,17.4100246429,1.38296854496,414.199981689,0.449999988079,302.0,-0.93081009388,6.19317579269,-58.9783401489,0.2538594331431262,1.0
1.0,0.1,0.0,1.0,1.0,1.0,0.0,nan,nan,nan,17.37988544482316,1.1530370944830663,414.16493160085207,0.449999988079,302.50077231108907,-1.6244189640245543,18.474545199041657,-57.57661222164061,0.2538594331431262,1.0
2.0,0.2,0.0,1.0,1.0,1.0,0.0,nan,nan,nan,17.349746246746317,0.9231056440061328,414.1298815127041,0.449999988079,303.00154462217813,-1.75219774246,20.7941551208,-57.3160667419,0.2538594331431262,1.0
3.0,0.3,0.0,1.0,1.0,1.0,0.0,nan,nan,nan,17.319607048669475,0.6931741935291992,414.09483142455616,0.449999988079,303.50231693326714,-1.75219774246,20.7941551208,-57.3160667419,0.2538594331431262,1.0
4.0,0.4,0.0,1.0,1.0,1.0,0.0,nan,nan,nan,17.28953862460654,0.4634906512779164,414.05948911913134,0.4498139751843441,304.00744051696887,-1.75219774246,20.7941551208,-57.3160667419,0.2538594331431262,1.0
5.0,0.5,0.0,1.0,0.5,0.975,0.0,nan,nan,nan,17.270872027082813,0.2737455896980828,413.97707006168207,0.4196609356678227,305.2135622893388,-2.144668016665399,27.714344933742428,-55.36027554999386,0.2538594331431262,1.0
6.0,0.6000000000000001,0.0,1.0,0.800000011920929,0.9662500005960464,0.0,nan,nan,nan,17.252205429559087,0.0840005281182489,413.8946510042328,0.3895078961513012,306.41968406170867,-2.18218564987,28.4104099274,-55.1730308533,0.2538594331431262,1.0
7.0,0.7000000000000001,0.0,1.0,0.949999988079071,0.9654374999701976,0.0,nan,nan,nan,17.23353883203536,-0.1057445334615846,413.8122319467835,0.3593548566347798,307.62580583407856,-2.18218564987,28.4104099274,-55.1730308533,0.2538594331431262,1.0
8.0,0.8,0.0,1.0,1.0,0.9671656249716877,0.0,nan,nan,nan,17.214872234511635,-0.2954895950414182,413.7298128893343,0.3292018171182584,308.83192760644846,-2.18218564987,28.4104099274,-55.1730308533,0.2538594331431262,1.0
9.0,0.9,0.0,1.0,1.0,0.9688073437231033,0.0,nan,nan,nan,17.195687461996556,-0.4800586868671869,413.64500526928464,0.2990023196622586,310.02720978533625,-2.18218564987,28.4104099274,-55.1730308533,0.2538594331431262,1.0
10.0,1.0,0.0,1.0,1.0,0.9703669765369481,0.0,nan,nan,nan,17.16059531014375,-0.5057314295975888,413.4868715104036,0.2673766166215339,310.8897288470075,-4.946767725983876,24.61891534001133,-50.2871875833562,0.2538594331431262,1.0
11.0,1.1,0.0,1.0,1.0,0.9718486277101007,0.0,nan,nan,nan,17.125503158290947,-0.5314041723279906,413.3287377515225,0.2357509135808091,311.7522479086788,-5.29284286499,24.125831604,-49.6755905151,0.2538594331431262,1.0
12.0,1.2000000000000002,0.0,1.0,1.0,0.9732561963245957,0.0,nan,nan,nan,17.090411006438142,-0.5570769150583925,413.1706039926414,0.2041252105400844,312.61476697035005,-5.29284286499,24.125831604,-49.6755905151,0.2538594331431262,1.0
13.0,1.3,0.0,1.0,1.0,0.9745933865083659,0.0,nan,nan,nan,17.05155825993205,-0.6746255732670394,412.9540723227426,0.1786676921437072,313.5666152862785,-7.145811328003633,20.67737437709015,-47.54658881752891,0.2538594331431262,1.0
14.0,1.4,0.0,1.0,1.0,0.9758637171829476,0.0,nan,nan,nan,17.009670215566025,-0.866330261396896,412.690405805651,0.1581887155410614,314.590564139296,-8.43677520752,19.0055522919,-46.0239295959,0.2538594331431262,1.0
15.0,1.5,0.0,1.0,1.0,0.9770705313238003,0.0,nan,nan,nan,16.9677821712,-1.0580349495267525,412.42673928855936,0.1377097389384156,315.6145129923136,-8.43677520752,19.0055522919,-46.0239295959,0.2538594331431262,1.0
16.0,1.6,0.0,1.0,1.0,0.9782170047576103,0.0,nan,nan,nan,16.925894126833974,-1.2497396376566088,412.1630727714677,0.1172307623357697,316.6384618453311,-8.43677520752,19.0055522919,-46.0239295959,0.2538594331431262,1.0
17.0,1.7000000000000002,0.0,1.0,1.0,0.9793061545197298,0.0,nan,nan,nan,16.891651582164833,-1.5679361167498818,411.8310042474631,0.1042646577472104,317.19117804762953,-11.486283837393383,15.390665815361343,-43.6643731591811,0.2538594331431262,1.0
18.0,1.8,0.0,1.0,1.0,0.9803408467937433,0.0,nan,nan,nan,16.86158188654361,-1.9551707451358475,411.4616024868174,0.0953990151394243,317.486699456146,-12.7833175659,13.8354644775,-42.6600837708,0.2538594331431262,1.0
19.0,1.9,0.0,1.0,1.0,0.9813238044540562,0.0,nan,nan,nan,16.831512190922385,-2.3424053735218138,411.0922007261718,0.0865333725316382,317.7822208646625,-12.7833175659,13.8354644775,-42.6600837708,0.2538594331431262,1.0
20.0,2.0,0.0,1.0,0.949999988079071,0.9797576136353069,0.0,nan,nan,nan,16.81275382800892,-2.6953170928188435,410.6927982861455,0.07786848863816,318.0,-12.7833175659,13.8354644775,-42.6600837708,0.2538594331431262,1.0
21.0,2.1,0.0,1.0,0.75,0.9682697329535415,0.0,nan,nan,nan,16.825681858557807,-2.952080176914021,410.2093550566247,0.069765989370518,318.0,-15.7257986069,10.6866426468,-41.9435958862,0.2538594331431262,1.0
22.0,2.2,0.0,1.0,1.0,0.9698562463058644,0.0,nan,nan,nan,16.838609889106696,-3.2088432610091986,409.7259118271039,0.0616634901028759,318.0,-15.7257986069,10.6866426468,-41.9435958862,0.2538594331431262,1.0
23.0,2.3000000000000003,0.0,1.0,1.0,0.9713634339905712,0.0,nan,nan,nan,16.851537919655584,-3.465606345104376,409.2424685975831,0.0535609908352339,318.0,-15.7257986069,10.6866426468,-41.9435958862,0.2538594331431262,1.0
24.0,2.4000000000000004,0.0,1.0,0.574999988079071,0.9515452616949961,0.0,nan,nan,nan,16.878766341174234,-3.8081285187478393,408.7385218907068,0.0500000007451,318.1381396664241,-16.36579165247349,9.712935503098144,-41.91243352869998,0.2538594331431262,1.0
25.0,2.5,0.0,1.0,0.75,0.9414679986102462,0.0,nan,nan,nan,16.917207676404598,-4.217894257489173,408.2184984399944,0.0500000007451,318.3845944245861,-18.8968505859,5.88824462891,-41.7871856689,0.2538594331431262,1.0
26.0,2.6,0.0,1.0,0.5249999761581421,0.9206445974876409,0.0,nan,nan,nan,16.955649011634964,-4.627659996230509,407.6984749892819,0.0500000007451,318.63104918274814,-18.8968505859,5.88824462891,-41.7871856689,0.2538594331431262,1.0
27.0,2.7,0.0,1.0,0.9750000238418579,0.9233623688053518,0.0,nan,nan,nan,16.994090346865327,-5.037425734971844,407.1784515385695,0.0500000007451,318.8775039409102,-18.8968505859,5.88824462891,-41.7871856689,0.2538594331431262,1.0
28.0,2.8000000000000003,0.0,1.0,0.9750000238418579,0.9259442515571772,0.0,nan,nan,nan,17.052496997347582,-5.485657662648018,406.57356689607934,0.0524140536758841,319.1207026492375,-20.432085926510663,3.28516946364872,-41.2105048093359,0.2538594331431262,1.0
29.0,2.9000000000000004,0.0,1.0,1.0,0.9296470389793183,0.0,nan,nan,nan,17.130633384065764,-5.97190190077913,405.88482237412745,0.0572136751280278,319.3606837272095,-21.6606121063,1.25185263157,-40.7447624207,0.2538594331431262,1.0
30.0,3.0,0.0,1.0,1.0,0.9331646870303524,0.0,nan,nan,nan,17.20876977078394,-6.45814613891024,405.1960778521755,0.0620132965801715,319.60066480518145,-21.6606121063,1.25185263157,-40.7447624207,0.2538594331431262,1.0
31.0,3.1,0.0,1.0,0.9750000238418579,0.9352564538709277,0.0,nan,nan,nan,17.28690615750212,-6.944390377041352,404.5073333302236,0.0668129180323153,319.8406458831534,-21.6606121063,1.25185263157,-40.7447624207,0.2538594331431262,1.0
32.0,3.2,0.0,1.0,0.925000011920929,0.9347436317734277,0.0,nan,nan,nan,17.37656723547833,-7.274350310413961,403.81570433424,0.0816457271074061,319.862991444738,-21.6606121063,1.25185263157,-40.7447624207,0.2538594331431262,1.0
33.0,3.3000000000000003,0.0,1.0,0.875,0.9317564501847562,0.0,nan,nan,nan,17.489006140768375,-7.295424146454308,403.1183743567797,0.116308500384234,319.4551940984873,-23.3815193176,0.0209875702858,-39.7120704651,0.2538594331431262,1.0
34.0,3.4000000000000004,0.0,1.0,0.8999999761581421,0.9301686264834254,0.0,nan,nan,nan,17.601445046058423,-7.316497982494654,402.4210443793195,0.1509712736610619,319.0473967522367,-23.3815193176,0.0209875702858,-39.7120704651,0.2538594331431262,1.0
35.0,3.5,0.0,1.0,0.675000011920929,0.9174101957553006,0.0,nan,nan,nan,17.713883951348464,-7.337571818535,401.7237144018593,0.1856340469378896,318.6395994059861,-23.3815193176,0.0209875702858,-39.7120704651,0.2538594331431262,1.0
36.0,3.6,0.0,1.0,0.42500001192092896,0.8927896865635819,0.0,nan,nan,nan,17.826322856638512,-7.358645654575347,401.0263844243991,0.2202968202147175,318.23180205973546,-23.3815193176,0.0209875702858,-39.7120704651,0.2538594331431262,1.0
37.0,3.7,0.0,1.0,0.699999988079071,0.8831502016393564,0.0,nan,nan,nan,17.97495155519133,-7.6975539761034355,400.3088478388681,0.2584735515290809,318.0,-23.22127093248601,1.4963369527363517,-40.73952728410677,0.2538594331431262,1.0
38.0,3.8,0.0,1.0,0.30000001192092896,0.853992692153435,0.0,nan,nan,nan,18.171245556524788,-8.455079692732472,399.5646972827937,0.3012784903770281,318.0,-23.1268386841,2.38336920738,-41.3451576233,0.2538594331431262,1.0
39.0,3.9,0.0,1.0,0.2750000059604645,0.8250430578437864,0.0,nan,nan,nan,18.367539557858247,-9.212605409361506,398.8205467267194,0.3440834292249752,318.0,-23.1268386841,2.38336920738,-41.3451576233,0.2538594331431262,1.0
40.0,4.0,0.0,1.0,0.22499999403953552,0.7950409046535739,0.0,nan,nan,nan,18.59844302775844,-9.624725038103826,398.0858161891443,0.3834339172284634,318.20667558389505,-22.195995029165125,1.7882857688876554,-41.25699397900746,0.2538594331431262,1.0
41.0,4.1000000000000005,0.0,1.0,0.42500001192092896,0.7765388600169416,0.0,nan,nan,nan,18.882457559424587,-9.506790758832008,397.3655414408392,0.4174832677176971,318.7305117644806,-20.4826316833,0.650043964386,-41.093952179,0.2538594331431262,1.0
42.0,4.2,0.0,1.0,0.3499999940395355,0.7552119167180713,0.0,nan,nan,nan,19.166472091090736,-9.388856479560188,396.6452666925341,0.4515326182069307,319.2543479450661,-20.4826316833,0.650043964386,-41.093952179,0.2538594331431262,1.0
43.0,4.3,0.0,1.0,0.42500001192092896,0.7387013214782141,0.0,nan,nan,nan,19.45048662275688,-9.27092220028837,395.924991944229,0.4855819686961642,319.7781841256516,-20.4826316833,0.650043964386,-41.093952179,0.2538594331431262,1.0
44.0,4.4,0.0,1.0,0.6000000238418579,0.7317662565963963,0.0,nan,nan,nan,19.703240861285945,-9.048824948453197,395.3846233840375,0.5114814430053058,319.712963864988,-15.89965851101202,0.5946270255516213,-40.12944665066431,0.2538594331431262,1.0
45.0,4.5,0.0,1.0,0.925000011920929,0.7414279443626228,0.0,nan,nan,nan,19.933036281777305,-8.750226215238408,394.9763851726768,0.5313953200768274,319.2151168343429,-14.7101993561,0.58476549387,-39.878238678,0.2538594331431262,1.0
