run_id,csv_path,failure_type,boundary_time_s,spike_detected,spike_lag_s,sustained_detected,sustained_lag_s,false_alarms_spm,post_elev_frac,n_spikes_total
carbonZ_2018-07-18-15-53-31_1_engine_failure,demos/uav_demo/generated/carbonZ_2018-07-18-15-53-31_1_engine_failure.csv,engine_failure,116.2,True,14.799999999999997,False,,2.0671834625323,0.0,5
carbonZ_2018-07-18-15-53-31_2_engine_failure,demos/uav_demo/generated/carbonZ_2018-07-18-15-53-31_2_engine_failure.csv,engine_failure,73.3,False,,False,,2.459016393442623,0.0,3
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj.csv,engine_failure,116.6,True,5.0,True,0.0,2.575107296137339,0.9056603773584906,7
carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj.csv,engine_failure,114.0,True,4.099999999999994,True,0.0,1.5803336259877085,0.94375,4
carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj.csv,engine_failure,122.8,False,,True,12.40000000000002,1.9559902200488999,0.390625,4
carbonZ_2018-07-30-16-39-00_1_engine_failure,demos/uav_demo/generated/carbonZ_2018-07-30-16-39-00_1_engine_failure.csv,engine_failure,116.6,False,,False,,1.5450643776824033,0.0,3
carbonZ_2018-07-30-16-39-00_2_engine_failure,demos/uav_demo/generated/carbonZ_2018-07-30-16-39-00_2_engine_failure.csv,engine_failure,91.3,True,3.299999999999997,False,,1.3157894736842106,0.0,3
carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj.csv,engine_failure,117.0,False,,True,13.0,1.5397775876817792,0.17721518987341772,3
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj.csv,engine_failure,87.5,False,,False,,2.059496567505721,0.0,3
carbonZ_2018-07-30-17-36-35_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-07-30-17-36-35_engine_failure_with_emr_traj.csv,engine_failure,133.20000000000002,True,12.899999999999977,True,2.299999999999983,2.2539444027047333,0.7339055793991416,6
carbonZ_2018-07-30-17-46-31_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-07-30-17-46-31_engine_failure_with_emr_traj.csv,engine_failure,90.1,True,20.30000000000001,False,,2.6666666666666665,0.0,5
carbonZ_2018-09-11-11-56-30_engine_failure,demos/uav_demo/generated/carbonZ_2018-09-11-11-56-30_engine_failure.csv,engine_failure,103.5,True,16.200000000000003,True,0.0,0.5802707930367504,1.0,2
carbonZ_2018-09-11-14-22-07_1_engine_failure,demos/uav_demo/generated/carbonZ_2018-09-11-14-22-07_1_engine_failure.csv,engine_failure,104.8,False,,True,0.0,0.5730659025787965,0.8241758241758241,1
carbonZ_2018-09-11-14-22-07_2_engine_failure,demos/uav_demo/generated/carbonZ_2018-09-11-14-22-07_2_engine_failure.csv,engine_failure,49.900000000000006,False,,False,,1.2048192771084338,0.25,1
carbonZ_2018-09-11-14-41-51_elevator_failure,demos/uav_demo/generated/carbonZ_2018-09-11-14-41-51_elevator_failure.csv,elevator_failure,117.8,False,,True,2.5,1.5293118096856415,0.7619047619047619,3
carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,demos/uav_demo/generated/carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure.csv,multi_fault,105.2,True,10.899999999999991,True,10.700000000000003,1.141769743101808,0.071875,3
carbonZ_2018-09-11-15-05-11_1_elevator_failure,demos/uav_demo/generated/carbonZ_2018-09-11-15-05-11_1_elevator_failure.csv,elevator_failure,63.400000000000006,True,9.700000000000003,False,,2.843601895734597,0.0,4
carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,demos/uav_demo/generated/carbonZ_2018-09-11-15-06-34_1_rudder_right_failure.csv,rudder_failure,55.400000000000006,True,3.1999999999999957,False,,2.1699819168173597,0.0,4
carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,demos/uav_demo/generated/carbonZ_2018-09-11-15-06-34_2_rudder_right_failure.csv,rudder_failure,51.900000000000006,True,2.6999999999999957,False,,1.1583011583011584,0.12790697674418605,3
carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,demos/uav_demo/generated/carbonZ_2018-09-11-15-06-34_3_rudder_left_failure.csv,rudder_failure,60.1,True,2.1999999999999957,False,,2.0,0.11827956989247312,3
carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,demos/uav_demo/generated/carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure.csv,multi_fault,116.2,True,11.5,True,0.0,1.550387596899225,0.9777777777777777,4
carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,demos/uav_demo/generated/carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure.csv,aileron_failure,65.7,True,10.599999999999994,True,0.0,0.9146341463414633,0.8687150837988827,3
carbonZ_2018-09-11-17-55-30_1_right_aileron_failure,demos/uav_demo/generated/carbonZ_2018-09-11-17-55-30_1_right_aileron_failure.csv,aileron_failure,111.9,False,,False,,2.683363148479428,0.0,5
carbonZ_2018-09-11-17-55-30_2_left_aileron_failure,demos/uav_demo/generated/carbonZ_2018-09-11-17-55-30_2_left_aileron_failure.csv,aileron_failure,49.900000000000006,True,9.399999999999991,False,,2.4096385542168677,0.0,4
carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj.csv,aileron_failure,151.9,False,,False,,2.371541501976284,0.0,6
carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,demos/uav_demo/generated/carbonZ_2018-10-05-14-37-22_2_right_aileron_failure.csv,aileron_failure,73.0,True,14.300000000000011,True,0.0,0.0,0.6131284916201117,2
carbonZ_2018-10-05-14-37-22_3_left_aileron_failure,demos/uav_demo/generated/carbonZ_2018-10-05-14-37-22_3_left_aileron_failure.csv,aileron_failure,72.0,False,,True,1.7000000000000028,0.8344923504867872,0.8041666666666667,1
carbonZ_2018-10-05-15-52-12_3_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-05-15-52-12_3_engine_failure_with_emr_traj.csv,engine_failure,49.1,False,,True,5.5,1.2244897959183674,0.42441860465116277,1
carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj.csv,engine_failure,99.8,False,,True,4.799999999999997,0.6018054162487463,0.7596899224806202,1
carbonZ_2018-10-05-16-04-46_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-05-16-04-46_engine_failure_with_emr_traj.csv,engine_failure,75.8,True,4.200000000000003,False,,3.1704095112285335,0.0,6
carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj.csv,engine_failure,104.1,False,,False,,2.8846153846153846,0.0,5
carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj.csv,engine_failure,111.1,False,,False,,1.6216216216216215,0.0,3
carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj.csv,engine_failure,100.2,True,9.599999999999994,False,,2.3976023976023977,0.0,5
carbonZ_2018-10-18-11-04-08_2_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-18-11-04-08_2_engine_failure_with_emr_traj.csv,engine_failure,98.1,True,11.100000000000009,False,,1.836734693877551,0.0,4
carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj.csv,engine_failure,101.0,False,,False,,1.7839444995044595,0.38461538461538464,3
carbonZ_2018-10-18-11-06-06_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-18-11-06-06_engine_failure_with_emr_traj.csv,engine_failure,102.5,True,2.5999999999999943,False,,3.5156249999999996,0.0,7
