failure_type,label,run_id,csv_path,figure_path
aileron_failure,typical_spike,carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,demos/uav_demo/generated/carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure.csv,results/uav_sweep/figures/aileron_failure/carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure__typical_spike.png
aileron_failure,hard_spike,carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,demos/uav_demo/generated/carbonZ_2018-10-05-14-37-22_2_right_aileron_failure.csv,results/uav_sweep/figures/aileron_failure/carbonZ_2018-10-05-14-37-22_2_right_aileron_failure__hard_spike.png
aileron_failure,miss,carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj.csv,results/uav_sweep/figures/aileron_failure/carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj__miss.png
elevator_failure,typical_spike,carbonZ_2018-09-11-15-05-11_1_elevator_failure,demos/uav_demo/generated/carbonZ_2018-09-11-15-05-11_1_elevator_failure.csv,results/uav_sweep/figures/elevator_failure/carbonZ_2018-09-11-15-05-11_1_elevator_failure__typical_spike.png
elevator_failure,sustained_only,carbonZ_2018-09-11-14-41-51_elevator_failure,demos/uav_demo/generated/carbonZ_2018-09-11-14-41-51_elevator_failure.csv,results/uav_sweep/figures/elevator_failure/carbonZ_2018-09-11-14-41-51_elevator_failure__sustained_only.png
engine_failure,typical_spike,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,demos/uav_demo/generated/carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj.csv,results/uav_sweep/figures/engine_failure/carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj__typical_spike.png
engine_failure,hard_spike,carbonZ_2018-09-11-11-56-30_engine_failure,demos/uav_demo/generated/carbonZ_2018-09-11-11-56-30_engine_failure.csv,results/uav_sweep/figures/engine_failure/carbonZ_2018-09-11-11-56-30_engine_failure__hard_spike.png
engine_failure,miss,carbonZ_2018-09-11-14-22-07_2_engine_failure,demos/uav_demo/generated/carbonZ_2018-09-11-14-22-07_2_engine_failure.csv,results/uav_sweep/figures/engine_failure/carbonZ_2018-09-11-14-22-07_2_engine_failure__miss.png
multi_fault,typical_spike,carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,demos/uav_demo/generated/carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure.csv,results/uav_sweep/figures/multi_fault/carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure__typical_spike.png
multi_fault,hard_spike,carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,demos/uav_demo/generated/carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure.csv,results/uav_sweep/figures/multi_fault/carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure__hard_spike.png
rudder_failure,typical_spike,carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,demos/uav_demo/generated/carbonZ_2018-09-11-15-06-34_2_rudder_right_failure.csv,results/uav_sweep/figures/rudder_failure/carbonZ_2018-09-11-15-06-34_2_rudder_right_failure__typical_spike.png
rudder_failure,hard_spike,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,demos/uav_demo/generated/carbonZ_2018-09-11-15-06-34_1_rudder_right_failure.csv,results/uav_sweep/figures/rudder_failure/carbonZ_2018-09-11-15-06-34_1_rudder_right_failure__hard_spike.png
no_failure,baseline,carbonZ_2018-10-18-11-08-24_no_failure,demos/uav_demo/generated/carbonZ_2018-10-18-11-08-24_no_failure.csv,results/uav_sweep/figures/no_failure/carbonZ_2018-10-18-11-08-24_no_failure__baseline.png
